czynnosc;ilosc;czas;;;;;;;;;;;;;;;;;;;;;;;
Generowanie;200;0,049046755;;;;;;;;;;;;;;;;;;;;;;;
dfs_sasiedztwa;200;0,004003763;;;;;;;;;;;;;;;;;;;;;;;
dfs_nastepniki;200;0,001000881;;;;;;;;;;;;;;;;;;;;;;;
dfs_krawedzie;200;0,166681767;;;;;;;;;;;;;;;;;;;;;;;
Generowanie;400;0,20319891;;;;;;;;;;;;;;;;;;;;;;;
dfs_sasiedztwa;400;0,017025948;;;;;;;;;;;;;;;;;;;;;;;
dfs_nastepniki;400;0,003994942;;;;;;;;;;;;;;;;;;;;;;;
dfs_krawedzie;400;1,357748985;;;;;;;;;;;;;;;;;;;;;;;
Generowanie;600;0,474994183;;;;;;;;;;;;;;;;;;;;;;;
dfs_sasiedztwa;600;0,038537264;;;;;;;;;;;;;;;;;;;;;;;
dfs_nastepniki;600;0,007006884;;;;;;;;;;;;;;;;;;;;;;;
dfs_krawedzie;600;4,723283768;;;;;;;;;;;;;;;;;;;;;;;
Generowanie;800;0,826869249;;;;;;;;;;;;;;;;;;;;;;;
dfs_sasiedztwa;800;0,068066359;;;;;;;;;200;400;600;800;1000;1200;1400;1600;1800;2000;2200;2400;2600;2800;3000
dfs_nastepniki;800;0,010533094;;;;;;;;dfs_krawedzie;0,166681767;1,357748985;4,723283768;11,37828851;22,27886915;38,40773106;62,75001907;92,05868363;131,1601837;180,3941038;240,1097219;309,2638261;392,3596921;487,2157261;598,8612537
dfs_krawedzie;800;11,37828851;;;;;;;;dfs_nastepniki;0,001000881;0,003994942;0,007006884;0,010533094;0,016015291;0,022022009;0,029684544;0,040038347;0,047068119;0,104103565;0,067609549;0,079098701;0,092119932;0,107111454;0,172178507
Generowanie;1000;1,28445363;;;;;;;;dfs_sasiedztwa;0,004003763;0,017025948;0,038537264;0,068066359;0,108105659;0,160157204;0,219244719;0,274423361;0,348360062;0,449991703;0,527494907;0,617124081;0,724769831;0,878619194;0,962947607
